ilkid,firstname,lastname,leag,Season_Effic,Season_FG_rate,Season_FT_rate,Season_PTS_rate,Playoffs_Effic,Playoffs_FG_rate,Playoffs_FT_rate,Playoffs_PTS_rate
GEIGEMA01,Matt,Geiger,N,11.077898550724637,0.49951004409603134,0.7283018867924528,0.41395957777595943,7.297297297297297,0.46774193548387094,0.8225806451612904,0.423728813559322
GEORGDE01,Devean,George,N,6.67877094972067,0.39054726368159204,0.7268623024830699,0.3232384720742657,5.794117647058823,0.41214057507987223,0.6842105263157895,0.2864363942712721
GEORGJA01,Jack,George,N,6.778656126482214,0.36375813241484883,0.7043795620437956,0.3249054224464061,7.7272727272727275,0.38495575221238937,0.7529411764705882,0.30670103092783507
GEORGTA01,Tate,George,N,4.067796610169491,0.41422594142259417,0.8197674418604651,0.3645368994551758,2.1666666666666665,0.3,0.3333333333333333,0.2878787878787879
GERARGU01,Gus,Gerard,A,13.512048192771084,0.43970223325062036,0.7369439071566731,0.4872431700158049,2.9130434782608696,0.3933333333333333,0.6578947368421053,0.348780487804878
GERARGU01,Gus,Gerard,N,5.957142857142857,0.43608521970705727,0.6491228070175439,0.4560158910329171,1.625,0.42105263157894735,0.5,0.4
GERVIGE01,George,Gervin,A,20.55390334572491,0.4803556658395368,0.8311327310632384,0.6497075377993599,15.68,0.48268839103869654,0.8172043010752689,0.6323232323232323
GERVIGE01,George,Gervin,N,22.072060682680153,0.5108909633580999,0.8435816459223481,0.780373831775701,22.084745762711865,0.5077551020408163,0.8207547169811321,0.7229791099000908
GIANEJO01,John,Gianelli,N,11.497227356746766,0.4703112738686895,0.7017142857142857,0.30842490842490844,4.612903225806452,0.43386243386243384,0.7213114754098361,0.26804123711340205
GIBBSDI01,Dick,Gibbs,N,4.1741741741741745,0.4022646007151371,0.7987679671457906,0.4034802784222738,0.9090909090909091,0.3684210526315789,1.0,0.45
GIBSODE01,Dee,Gibson,N,4.295454545454546,0.3142857142857143,0.7175141242937854,0.0,1.3333333333333333,0.36363636363636365,0.6,0.0
GILLED01,Eddie,Gill,N,4.023809523809524,0.36739659367396593,0.8482758620689655,0.276707530647986,2.5714285714285716,0.3125,0.8666666666666667,0.5333333333333333
GILLIAR01,Armen,Gilliam,N,14.8740581270183,0.4888350005052036,0.7761806981519507,0.48067824836304457,9.088235294117647,0.444,0.7843137254901961,0.43641618497109824
GILLIHE01,Herm,Gilliam,N,10.617647058823529,0.44052287581699345,0.7918968692449355,0.41607879675229603,5.222222222222222,0.3973509933774834,0.8055555555555556,0.3581890812250333
GILLKE01,Kendall,Gill,N,13.115942028985508,0.43420150788211104,0.7539026629935721,0.4380299843972593,10.25925925925926,0.40764331210191085,0.686046511627907,0.4045226130653266
GILMOAR01,Artis,Gilmore,A,26.061904761904763,0.5572252580449302,0.6677696889477167,0.5365350449882514,16.24137931034483,0.5587229190421893,0.6915887850467289,0.5149313962873285
GILMOAR01,Artis,Gilmore,N,22.986798679867988,0.5989550679205852,0.713245492371706,0.524810510358767,15.285714285714286,0.5664556962025317,0.6802030456852792,0.4270833333333333
GINOBEM01,Emmanuel,Ginobili,N,13.368181818181819,0.4430315361139369,0.7903402854006586,0.4585316111488783,16.140350877192983,0.4574468085106383,0.7887788778877888,0.4877336448598131
GIRICGO01,Gordan,Giricek,N,9.030434782608696,0.43955534969893467,0.8284518828451883,0.42363605267658627,7.571428571428571,0.4642857142857143,0.8181818181818182,0.29464285714285715
GIVENJA01,Jack,Givens,N,6.326923076923077,0.40115718418514945,0.7908745247148289,0.39984621299500195,0.8461538461538461,0.29545454545454547,1.0,0.24786324786324787
